MPID,Atomic number,Atomic weight,Density,Electronegativity,Lattice constant,Polarizability,Heat of formation,Heat of Fusion,Heat of Vaporization
611219,80,200.592,13.546,1.9,2.99,33.91,61.38,2.295,58.5
632250,1,1.008,0.0708,2.2,3.75,4.50711,217.998,0.117,0.904
634659,1,1.008,0.0708,2.2,3.75,4.50711,217.998,0.117,0.904
754382,2,4.002602,0.147,-1,3.57,1.38375,-1,-1,0.08
23158,2,4.002602,0.147,-1,3.57,1.38375,-1,-1,0.08
614456,2,4.002602,0.147,-1,3.57,1.38375,-1,-1,0.08
169,6,12.011,2.25,2.55,3.57,11.3,716.87,-1,-1
10759,33,75.8005,5.0565,2.28,5.01,34.45,299.6,21.015,193.85
1883,51,123.155,6.775,2.03,5.135,45.5,248.9,12.49,172.9
2117,36,86.466175,4.5185,1.02,3.8195,88.7,430.57,-1,194
938,42,100.115,5.7815,2.055,5.055,39,284.3,27.355,188.9
10653,45,107.61,4.39,1.525,5.265,117.6,180.3,13.555,96.9
2201,58,143.0855,8.07,2.175,4.655,37.95,211.2,5,118.75
19717,67,167.4,8.795,1.95,4.7,42.5,195.9,11.34,113.8
406,50,120.007,7.445,1.895,3.715,42,154.2,12.01,54.45
21276,49,119.63,6.71,2.19,7.71,33.2,236.185,3,94.15
2293,29.5,66.954522,6,2.05,6.625,48.45,255.25,9.315,140.35
23703,2,3.974,0.3024,1.59,3.62,84.309805,188.649,1.5035,74.452
1410,36.5,88.2535,4.679,2.13,3.8145,85.2,381.42,-1,145
995181,41,95.67,6.3165,1.985,5.74,46.5,336.6,21.935,312
1190,32,72.1755,5.9615,2.1,3.51,33.785,178.8,6.255,87.25
883,37,89.468665,4.8015,2.135,3.8095,81.7,386.52,-1,150
1876,33,75.385,4.69,2.27,8.145,36.2,289.185,4.15,153.25
2693,42,98.8405,6.05,2.255,5.09,40.95,264.2,6.15,177.85
19830,37.5,90.633,4.934,2.14,3.7995,78.7,394.42,-1,158
1006880,44,109.8952,6.0435,1.97,6.74,34.25,387.3,17.3,338.25
2469,32,72.237,5.36,2.135,6.725,32.7,194.485,3.67,34.8
1009540,41,101.1205,12.41,2.375,3.155,34.15,751.935,15.35,368.5
2114,23,51.45642,2.639,2.13,3.8445,84.7,448.57,5.25,183
1975,38,91.47061,5.0645,2.145,3.7895,75.7,352.32,-1,115.5
10013,33,75.385,4.69,2.27,8.145,36.2,289.185,4.15,153.25
830,19,41.865,3.359,2.425,4.2745,28.7,372.2,2.295,134.65
570354,32,71.725,6.04,2.43,5.14,33.75,224.625,11.79,167.08
22895,41,95.225235,6.945,2.28,5.665,39.7,222.0785,14.265,173.275
1102,39,94.4869,5.3242,2.02,3.7745,72.2,450.02,-1,206.5
13033,32,75.9525,3.989,1.705,3.83,54.6,171.85,13.555,90.8
1986,19,40.6895,4.141,2.545,4.745,21.985,189.8145,3.14,56.9
10695,23,48.72,4.6015,2.115,6.565,29.035,203.785,4.255,62.65
1009813,32,73.3975,4.82,1.93,5.625,45.15,375.6,28.835,339.5
990448,6,12.011,2.25,2.55,3.57,11.3,716.87,-1,-1
370,32,72.237,5.36,2.135,6.725,32.7,194.485,3.67,34.8
22913,32,71.725,6.04,2.43,5.14,33.75,224.625,11.79,167.08
2175,45,111.6892016,6.479,2.89,1.23,26.87,130.7675,2.41,84.47
32880,32,71.725,6.04,2.43,5.14,33.75,224.625,11.79,167.08
571386,23,49.498,5.26,2.53,4.925,30.55,229.351,9.71,162.505
30373,58,141.2171845,10.416,1.61,4.835,177.9,224.55,7.44,207.9
13031,23,51.638,3.264,1.93,3.785,50.05,187.15,7.215,95.75
2853,19,41.865,3.359,2.425,4.2745,28.7,372.2,2.295,134.65
22925,50,117.386335,7.715,2.295,5.905,43.95,195.8285,13.735,148.025
1008786,32,75.9525,3.989,1.705,3.83,54.6,171.85,13.555,90.8
22914,23,49.498,5.26,2.53,4.925,30.55,229.351,9.71,162.505
23167,49,119.915,6.705,2.48,4.85,32.3,151.751,5.36,91.405
1009894,23,51.6175,4.378,1.94,3.4,61.65,663.435,9.1,283
22875,58,142.142,7.485,2.38,5.065,35.5,147.025,7.44,95.98
2534,32,72.3222975,5.82,1.995,4.32,40,287.23,2.295,151.35
571102,67,165.642235,8.39,2.23,5.59,41.45,144.4785,9.915,102.175
149,14,28.085,2.33,1.9,5.43,37.3,450,50.6,383
1009792,25,56.5405,7.33,2.375,3.135,41.65,683.735,12.25,-1
2229,19,40.6895,4.141,2.545,4.745,21.985,189.8145,3.14,56.9
23231,41,93.8861,6.81,2.445,5.38,38,198.375,11.26,141.83
568560,58,142.142,7.485,2.38,5.065,35.5,147.025,7.44,95.98
997618,28,66.285,4.5155,2.045,6.62,31.75,414.7,21.84,349.85
22919,50,117.386335,7.715,2.295,5.905,43.95,195.8285,13.735,148.025
2600,54,132.4635,4.87,1.495,4.735,155,187.85,12.785,95.9
684580,50,117.386335,7.715,2.295,5.905,43.95,195.8285,13.735,148.025
24721,19,43.2379,0.8014,1.51,4.67,162.153555,149.449,1.1585,38.352
22922,32,71.6591,6.03,2.545,5.165,34.8,203.101,9.18,137.255
20351,32,72.895881,4.565,1.985,5.88,45,279.75,2.875,137.45
2667,67,164.9360105,10.5865,1.595,5.065,218.45,222.35,7.385,204.15
1002124,39,95.2505,7.78,1.925,3.385,57.15,667.635,12.05,287
10044,19,42.8657975,4.035,2.11,6.43,25.25,433.75,11.3,268.45
10680,45,108.149,4.145,1.72,4.69,150.45,203.15,6.445,100.85
2624,32,74.37076925,4.69495,1.83,4.28,50.4,297.65,15.415,239.65
1479,10,20.891881,2.08,2.115,7.95,22.75,440.75,13.055,277.15
610917,8,15.999,1.149,3.44,6.83,5.3,249.229,-1,-1
611836,8,15.999,1.149,3.44,6.83,5.3,249.229,-1,-1
8062,10,20.048,2.29,2.225,4.5,24.3,583.435,24.8,191
1009820,28,65.3605,4.78,2.255,4.695,32.15,509.035,3.035,147.5
1779,61,150.3225,6.6027,0.55,4.97,88.5,176.1,10.63,104.4
2172,23,50.95156675,4.21445,1.895,4.09,43.9,316.7,4.875,158.25
1519,36,83.839,3.895,1.55,5.015,99.4,187.2,13.555,101.7
1009639,33,77.45733,3.7905,2.085,3.8545,111.7,414.67,5.15,165
1009490,8,15.999,1.149,3.44,6.83,5.3,249.229,-1,-1
2490,23,50.348381,3.865,2,5.84,37.5,294.23,4.05,160.05
1000,54,132.4635,4.87,1.495,4.735,155,187.85,12.785,95.9
634105,18,40.456,1.5954,2.58,5.21,12.753555,164.924,5.3435,15.232
1550,14,28.97765025,2.25945,1.9,5.61,41.4,323.7,6.63,166.95
1002164,19,42.3205,3.7865,2.28,4.615,25.65,544.435,17.9,163.5
569639,49,119.915,6.705,2.48,4.85,32.3,151.751,5.36,91.405
1958,45,107.61,4.39,1.525,5.265,117.6,180.3,13.555,96.9
10760,23,51.638,3.264,1.93,3.785,50.05,187.15,7.215,95.75
10627,27,59.84,2.305,1.765,8.275,108.3,220.585,5.215,77.25
23197,67,165.642235,8.39,2.23,5.59,41.45,144.4785,9.915,102.175
1253,45,108.149,4.145,1.72,4.69,150.45,203.15,6.445,100.85
2691,41,95.6925,6.72,2.12,3.67,37.45,169.5,5.67,59.4
286,52,126.008,5.8777,0.775,4.925,83.95,191.4,4.29,109.35
252,28,68.30609155,4.044,1.835,3.37,37.87,260.3,15.06,179.4
13099,23,51.45642,2.639,2.13,3.8445,84.7,448.57,5.25,183
1415,27,59.5245,3.17,1.775,4.97,94.85,202.5,7.215,106.65
1342,32,76.663,2.3245,2.165,5.925,138.65,214.1645,3.33,70.5
12103,7,14.007,0.808,3.04,4.039,7.4,472.44,-1,-1
1500,36,84.6935,2.785,1.735,7.745,145.7,228.135,4.445,76.25
1820,43,102.5525,4.5177,0.79,7.98,79.2,216.385,2.29,84.75
2758,36,83.2955,3.665,1.75,5.22,113.05,195.6,7.215,101.85
1009127,10,20.152,1.4435,2.375,5.02,38.25,198.1645,4.1,65.4
1672,18,36.069,1.81,1.79,8.025,90.1,227.485,5.215,82.05
2176,41,96.49,6.6865,1.875,3.555,38.335,163.5,12.595,82.3
1087,27,59.84,2.305,1.765,8.275,108.3,220.585,5.215,77.25
632319,28,66.95672598,0.9719,1.495,4.9,202.703555,147.249,1.1035,34.602
866291,41,93.8861,6.81,2.445,5.38,38,198.375,11.26,141.83
1541,19,43.99159155,3.319,2.06,3.325,33.32,275.6,8.72,184.35
1009819,23,51.8095,1.8445,2.195,6.455,101.25,206.6145,4.1,71.5
1315,14,28.1825,1.904,1.945,6.84,45.3,212.135,5.215,71.15
634101,9,18.229,0.8154,2.68,4.995,9.553555,169.65,3.2635,10.657
685145,6,12.4085,1.574,2.54,6.3845,13.95,518.72,11.3,251.75
1009129,10,20.152,1.4435,2.375,5.02,38.25,198.1645,4.1,65.4
422,10,20.53609155,1.959,2.075,6.38,28.57,300.585,6.72,159.75
1008223,27,59.5245,3.17,1.775,4.97,94.85,202.5,7.215,106.65
22901,36,83.001385,2.893,1.74,6.475,161.3,97.8785,59.01,22.14
2472,23,51.8095,1.8445,2.195,6.455,101.25,206.6145,4.1,71.5
1700,10,20.49426925,1.75345,2.325,4.0445,32.6,401.67,4.875,141.55
23302,45,106.186135,3.231,1.74,6.655,176.35,93.8285,8.86,58.875
13032,14,28.1825,1.904,1.945,6.84,45.3,212.135,5.215,71.15
24084,10,20.05315,0.4634,1.51,4.49,147.103555,153.499,51.3085,1.617
1216,39,94.522,4.0572,1.22,6.16,72.15,202.4145,1.175,79
23268,32,74.94711964,2.9505,1.795,5.975,97.8,107.1285,9.08,69.925
2605,14,28.0385,1.3495,2.22,6.205,83.05,213.5145,4.1,76.3
23870,6,11.99888464,0.5209,1.565,3.99,83.603555,162.749,1.3785,49.402
22903,45,106.186135,3.231,1.74,6.655,176.35,93.8285,8.86,58.875
22898,36,83.001385,2.893,1.74,6.475,161.3,97.8785,59.01,22.14
614603,54,129.904961,3.4015,1.725,6.885,216.9,91.6285,8.805,55.125
570891,27,59.50115,1.988,1.89,5.95,155.35,100.425,56.535,15.945
23303,36,82.6859,2.326,1.89,6.13,170.4,96.375,6.385,52.68
22851,14,29.21988464,1.2655,2.045,5.235,88.65,114.401,4.525,59.155
22916,23,51.44688464,2.0455,1.945,5.45,91.85,109.675,6.605,63.73
66,6,12.011,2.25,2.55,3.57,11.3,716.87,-1,-1
22867,36,82.6859,2.326,1.89,6.13,170.4,96.375,6.385,52.68
22899,28,66.922235,2.732,1.82,5.605,98.50625,133.0285,9.205,94.975
22906,45,106.404726,2.4965,1.875,6.36,210.95,94.175,6.33,48.93
571222,45,106.404726,2.4965,1.875,6.36,210.95,94.175,6.33,48.93
23251,27,59.50115,1.988,1.89,5.95,155.35,100.425,56.535,15.945
13150,6,12.4085,1.574,2.54,6.3845,13.95,518.72,11.3,251.75
1330,10,20.49426925,1.75345,2.325,4.0445,32.6,401.67,4.875,141.55
1265,10,20.152,1.4435,2.375,5.02,38.25,198.1645,4.1,65.4
1639,6,12.4085,1.574,2.54,6.3845,13.95,518.72,11.3,251.75
23299,27,60.4589,1.546,1.99,5.915,167.2,101.101,4.305,48.105
23289,18,37.27415,1.208,1.99,5.735,152.15,105.151,54.455,11.37
23295,27,60.4589,1.546,1.99,5.915,167.2,101.101,4.305,48.105
573697,36,84.17772598,1.7165,1.975,6.145,207.75,98.901,4.25,44.355
23259,19,43.422,1.827,1.97,5.08,92.55625,135.575,6.73,88.78
22865,36,84.17772598,1.7165,1.975,6.145,207.75,98.901,4.25,44.355
22862,14,29.21988464,1.2655,2.045,5.235,88.65,114.401,4.525,59.155
23193,18,37.27415,1.208,1.99,5.735,152.15,105.151,54.455,11.37
684609,9,18.229,0.8154,2.68,4.995,9.553555,169.65,3.2635,10.657
1784,32,75.95192756,1.4905,2.385,2.525,202.32,77.9175,1.3,37.42
11718,23,52.23310158,1.32,2.4,2.295,161.77,80.1175,1.355,41.17
2064,23,52.23310158,1.32,2.4,2.295,161.77,80.1175,1.355,41.17
8455,32,75.95192756,1.4905,2.385,2.525,202.32,77.9175,1.3,37.42
463,14,29.04835158,0.982,2.4,2.115,146.72,84.1675,51.505,4.435
682,10,20.99408622,1.0395,2.455,1.615,83.22,93.4175,1.575,52.22
22905,10,21.195,1.047,2.07,4.865,89.35625,140.301,4.65,84.205
8454,14,29.04835158,0.982,2.4,2.115,146.72,84.1675,51.505,4.435
570752,1,1.008,0.0708,2.2,3.75,4.50711,217.998,0.117,0.904
1778,6,12.50559155,1.4985,2.505,4.56,21.52,286.6145,5.605,154
23907,1,1.008,0.0708,2.2,3.75,4.50711,217.998,0.117,0.904
1009009,6,12.96920158,0.821,2.48,1.245,83.92625,119.3175,1.7,77.27
1794,6,12.50559155,1.4985,2.505,4.56,21.52,286.6145,5.605,154
1138,6,12.96920158,0.821,2.48,1.245,83.92625,119.3175,1.7,77.27
850274,1,1.008,0.0708,2.2,3.75,4.50711,217.998,0.117,0.904
632291,1,1.008,0.0708,2.2,3.75,4.50711,217.998,0.117,0.904
23156,2,4.002602,0.147,-1,3.57,1.38375,-1,-1,0.08
696114,20.33333333,43.27773133,4.006666667,2.733333333,4.996666667,28.06666667,223.1013333,9.433333333,143.3066667
634751,24,58.35366667,2.369,1.133333333,4.33,49.33807333,197.1986667,1.194666667,53.60266667
22027,51.33333333,123.5382043,11.27333333,1.97,6.263333333,52.33333333,317.5666667,11.05,285.6666667
5640,65.66666667,160.978523,11.89,1.866666667,4.486666667,79.66666667,328.6,6.25,317.6666667
558110,18,37.329,2.893333333,2.233333333,7.963333333,46.26666667,342.4466667,7.086666667,147.8666667
21425,56.66666667,138.4774367,11.754,1.856666667,4.063333333,77,421.4333333,12.42666667,363.8666667
962062,48,114.5523333,4.45,1.266666667,5.64,174.0666667,214.7666667,7.976666667,194
30390,65.33333333,160.2022997,11.80166667,1.863333333,4.493333333,81.66666667,323.3333333,6.25,312.3333333
22689,45.33333333,105.4513333,8.612,1.83,4.313333333,63.71333333,429.2666667,14.50333333,411.8
23229,20,42.24833333,3.664666667,2.716666667,5.116666667,30.4,219.368,8.873333333,126.94
961665,21.33333333,46.32796933,3.546,1.493333333,3.676666667,72.73333333,265.62,10.19666667,244.9333333
10615,24.66666667,58.41358733,1.951333333,1.353333333,5.226666667,153.7041667,218.3,4.353333333,113.2666667
10616,30.66666667,73.062865,3.254666667,1.35,4.213333333,155.3708333,213.6333333,3.183333333,107.4666667
5920,16,35.5171795,2.851966667,1.533333333,4.4,87.30416667,287.4,16.81333333,253.3666667
30033,32.33333333,72.91373133,5.046666667,2.6,5.283333333,32.33333333,216.8,12.20666667,149.4066667
961653,38,89.25666667,9.834666667,1.81,3.82,55.76666667,572.1666667,33.13333333,515.6666667
631505,22.66666667,50.8207277,4.642666667,2.143333333,4.19,35.08,257.75,11.93,214.3866667
631550,36,86.6228,4.545666667,1.646666667,6.353333333,76.43333333,317.4666667,14.6,276.7
961651,33.33333333,75.34666667,6.39,1.903333333,3.486666667,67.63333333,417.5666667,12.74333333,322.2333333
569360,80,200.592,13.546,1.9,2.99,33.91,61.38,2.295,58.5
13305,63.66666667,155.345523,11.37666667,1.843333333,6.3,93.66666667,292.0333333,9.55,267
962064,33.33333333,76.86853643,4.250333333,1.37,4.566666667,125.9,277.8,7.07,253.6333333
2278,32,77.53,5.281333333,2.926666667,5.55,14.83666667,186.6126667,0.098333333,18.83333333
3161,10,20.66884617,1.8543,1.496666667,4.323333333,86.40416667,313.4,21.41333333,271.7
2894,50,120.2108257,9.866666667,1.906666667,4.403333333,62,349.0666667,11.85,322.9
567313,52,127.6,6.24,2.1,4.45,38,196.6,17.91,49.8
7575,13.33333333,28.77566667,2.825,1.89,3.396333333,70.06083333,254.0466667,3.056666667,87.26666667
568269,60,145.5360067,9.323333333,1.686666667,3.936666667,80.33333333,290.6333333,9.203333333,260.8666667
962065,36,82.136,3.8,1.303333333,5.826666667,137,214.3333333,8.49,197.8666667
19,52,127.6,6.24,2.1,4.45,38,196.6,17.91,49.8
408,18.66666667,40.41333333,2.933,1.543333333,4.026666667,60.8,222.0666667,18.4,197.2
1008858,63,153.2141333,9.591333333,1.746666667,4.1,94.04666667,304.3666667,11.78,277.8
30459,44,104.2099027,7.213,1.723333333,3.86,64.66666667,339.1666667,14.80333333,294.4333333
11390,16,34.916,2.924666667,1.563333333,4.476666667,83.80416667,293.7533333,19.69333333,267.1
1018139,59.33333333,144.2013767,9.148,1.68,3.95,84.33333333,313.4333333,9.203333333,283.8666667
15687,27.33333333,59.799965,4.573,1.55,4.006666667,119.4566667,173.9666667,36.26,49.84333333
30460,50,118.85988,7.706333333,1.676666667,3.973333333,86.33333333,354.8,13.37,305.8666667
11836,55,131.813,9.257,1.83,3.986666667,73.04666667,319.1333333,12.10666667,294.8666667
20185,50,118.4734,8.4778,1.653333333,3.846666667,76.33333333,374.0333333,12.23,329.2666667
31455,39.33333333,91.25716667,8.403666667,1.96,3.41,67.33333333,476.8333333,21.02666667,218.0666667
1367,12.66666667,25.565,1.935333333,1.506666667,3.95,59.9,248.0666667,23,215.5333333
961723,22.66666667,49.9745,4.831333333,1.42,4.29,130.3041667,297.7,11.29666667,265.2
4025,49.33333333,116.46254,8.304666667,1.736666667,3.856666667,78.66666667,308.9,12.23,268.6
3432,33.33333333,75.136436,6.194333333,1.773333333,3.78,63,357.4333333,17.83,302.1666667
22786,56,136.4803667,9.330666667,1.723333333,4.806666667,106.3333333,444.4333333,13.59666667,396.1
961703,30.66666667,75.00458976,7.651666667,1.37,3.88,124.9375,277.5,9.096666667,238.6333333
21272,49,115.9041333,8.217666667,1.733333333,3.863333333,80.66666667,336.9666667,12.23,296.9333333
961697,44,104.8508257,9.204333333,1.923333333,4.35,57.66666667,372.6666667,21.76,333.5666667
569779,39.33333333,91.04530267,7.233666667,1.87,3.903333333,55.38,339.6,17.70666667,300.1
4964,56,135.2499467,10.87033333,1.823333333,4.026666667,84.33333333,418.2666667,17.78,344.0666667
16313,64.66666667,158.5897833,12.12333333,1.083333333,4.01,87,406.2666667,13.61333333,351.4
4174,48.66666667,115.12791,8.129333333,1.73,3.87,82.66666667,331.7,12.23,291.6
11520,39.33333333,89.78641333,6.687666667,1.726666667,3.893333333,84.66666667,373.0666667,16.39666667,313.6
7188,34,81.39769233,9.3226,1.806666667,3.613333333,57.53333333,482.9333333,17.73333333,435.4
4510,48.33333333,114.3178,8.047666667,1.726666667,3.873333333,85,328.3,12.23,288.2666667
3716,48,113.12625,7.940666667,0.986666667,3.876666667,87.33333333,361.0666667,12.23,320.9333333
2076,36,83.05533333,5.362,2.143333333,3.983333333,56.6,354.8,9.886666667,228.8
755333,32,77.53,5.281333333,2.926666667,5.55,14.83666667,186.6126667,0.098333333,18.83333333
567636,33.33333333,76.18216667,6.891666667,1.836666667,3.466666667,64,398.4666667,17.12666667,331.7333333
10161,33.33333333,75.41276667,4.893333333,1.506666667,4.133333333,123.79,161.2666667,43.28666667,104.11
1018118,55.33333333,132.3714067,9.344,1.833333333,3.98,71.04666667,291.0666667,12.10666667,266.5333333
505297,45.33333333,105.2454567,9.223666667,1.95,3.503333333,71,549.3333333,24.12666667,291.4
11869,56,134.54,10.88,1.82,4.303333333,60.71333333,432.0666667,16.47,414.4666667
924128,50,118.6311333,9.840666667,1.723333333,4.18,68.33333333,449.9,16.59333333,416.5333333
567418,54.66666667,131.0367767,9.168666667,1.826666667,3.993333333,75.04666667,313.8666667,12.10666667,289.5333333
961774,39.33333333,94.02558976,3.720666667,1.29,4.586666667,159.2333333,183.6666667,10.12666667,145.0333333
9124,22,49.08053167,4.465666667,1.603333333,3.426666667,77.59416667,197.4,3.056666667,98.4
961693,56,134.3361897,11.03866667,1.836666667,3.966666667,71,407.0666667,11.70666667,377.3666667
282,13.33333333,28.62126878,2.252,3.166666667,0.316666667,35.82666667,210.5566667,6.606666667,145.2266667
753746,27.33333333,62.31153333,1.404333333,1.693333333,6.003333333,214.9666667,137.0096667,1.133333333,50.2
2784,24.66666667,57.85984619,2.727333333,1.32,4.303333333,121.1333333,137.2,7.73,81.86666667
961687,45.33333333,105.4513333,8.612,1.83,4.313333333,63.71333333,429.2666667,14.50333333,411.8
961682,39.33333333,90.999,7.956666667,1.9,4.22,59.71333333,383.6,14.37,363.6666667
8177,32.66666667,79.52960211,5.254,3.286666667,0.33,13.79666667,73.35,1.105,23.86
924129,39.33333333,89.54246667,7.572666667,1.733333333,4.19,71.33333333,447.1,14.62666667,413.8666667
9437,39.33333333,90.17045667,7.711666667,1.826666667,3.56,67.66666667,470.9666667,20.22666667,405.0666667
1266,18.66666667,41.65017952,2.244,1.47,4.273333333,118.1,147.4,3.503333333,85.16666667
22880,32,71.88433333,4.704666667,2.583333333,5.403333333,34.66666667,213.0666667,11.64666667,133.04
1009733,18,36.08033333,1.81,1.3,5.53,119.6333333,268.5333333,23,230.0666667
985831,46.66666667,112.144,7.63,2.133333333,3.973333333,53.6,357.6,11.85333333,231.4666667
7988,39.33333333,93.93663464,1.631666667,1.673333333,6.31,269.0333333,134.0763333,1.06,45.2
961675,21.33333333,44.87435667,4.570666667,1.82,4.666666667,57,374.8,11.97333333,253.7
570213,32.66666667,80.07513333,4.006333333,1.396666667,3.816666667,94.4375,172,7.696666667,150.6
961657,27.33333333,59.524334,5.064,1.773333333,4.78,78.66666667,390.4333333,10.54,265.1333333
1008785,20,44.356,4.902666667,3.026666667,5.453333333,27.53333333,383.0193333,7.833333333,-1
961695,45.33333333,108.4795547,7.096666667,1.693333333,3.57,102.6666667,351.4333333,13.96333333,280.3
571096,20,42.24833333,3.664666667,2.716666667,5.116666667,30.4,219.368,8.873333333,126.94
7173,50,120.5999693,10.377,1.87,3.913333333,62.66666667,402.6333333,19.21333333,332.6333333
1009730,30,66.28866667,3.47,1.32,5.66,124.8666667,218.9333333,8.49,201.0666667
31454,56,134.5926267,11.91833333,1.916666667,3.506666667,63,565.6666667,23.42666667,317.4
1023937,35.33333333,82.65333333,7.813333333,2.286666667,8.033333333,35.6,468.4466667,12.48666667,281.6666667
1776,35.33333333,88.68097,6.888666667,2.593333333,3.642666667,47.93333333,492.6266667,3.533333333,138.3333333
962072,36,82.23804667,4.212,1.333333333,4.9,168.2333333,271.6333333,40.35666667,221.7766667
34932,9.333333333,18.36433333,0.8096,2.08,4.456333333,57.56903667,289.4126667,2.772333333,51.168
665,39.33333333,92.21733333,5.63,2.353333333,4.846666667,36.93333333,251.8666667,5.843333333,138.4666667
648,12.66666667,26.01317952,1.337333333,1.48,6.31,114.9333333,164.0566667,2.17,68.76666667
10623,62,152.2344,10.29366667,1.876666667,4.463333333,108.6666667,474.1333333,19.33,400.9666667
961661,33.33333333,75.243,6.952,1.81,4.183333333,58.48,478.8666667,29.01333333,440.8
961659,27.33333333,60.79066667,6.296666667,1.88,4.09,54.48,433.2,28.88,392.6666667
27396,20.66666667,43.1978,4.007333333,2.743333333,5.333333333,26.06666667,224.2346667,10.14333333,139.8066667
30847,50,120.5536667,11.1,1.9,4.23,67,446.6333333,15.87666667,396.2
10614,18.66666667,41.84458733,1.631333333,1.373333333,5.58,128.7708333,213.2666667,4.866666667,113.9333333
25571,19.33333333,42.64933333,4.172666667,3.013333333,5.603333333,32.53333333,385.8126667,8.666666667,196
961660,27.33333333,60.89433333,5.734666667,1.973333333,3.393333333,63.63333333,371.9,12.61,274.1
961678,33.33333333,77.163034,6.043333333,1.78,3.423333333,63.33333333,333.7,16.39666667,257.2
1115,48.66666667,117.6753333,10.34333333,2.433333333,4.213333333,35.26666667,340.0333333,10.74,196.4666667
1008680,44,105.1936667,10.43766667,1.916666667,4.176666667,62.66666667,470.2333333,25.78666667,406.8666667
23162,24.66666667,54.04133333,3.208666667,2.55,5.236666667,47.06666667,284.2013333,10.67333333,202.6066667
961706,38,90.34533333,9.44,1.88,4.1,61.76666667,496.2333333,30.38666667,425.2
1023936,47.33333333,113.9273333,9.626666667,2.266666667,3.96,41.93333333,435.1333333,15.15333333,314.4666667
961713,56,135.006,11.75533333,1.83,4.323333333,71,492.3,16.01,444.3333333
31451,50,119.7125313,8.384333333,1.703333333,3.496666667,71.66666667,415.4333333,15.22666667,376.0333333
14,34,78.971,4.79,2.55,4.36,28.9,227.2,5.23,59.7
1100,27.33333333,65.689,3.8218,1.366666667,4.21,53.86666667,529.78,0.45,52.33333333
1186,24,51.78133333,3.548666667,2.163333333,8.056666667,50.26666667,388.1133333,7.22,196
1018138,43,101.58348,5.323333333,2.316666667,6.153333333,50.93333333,243.0046667,16.18,181.3
5967,33.33333333,76.18673133,6.710333333,1.823333333,3.323333333,66,388.0333333,18.12,335.6333333
1008677,12.66666667,26.62166667,2.279333333,2.806666667,5.536666667,36.86666667,323.8193333,5.6,140.2
999549,29.33333333,70.618,6.972,2.593333333,3.746,27.6,598.6266667,11,274
1023935,48.66666667,117.05,7.566666667,2.12,4.016666667,54.33333333,350.7266667,21.27333333,229.8666667
1023926,59.33333333,146.3466667,10.59333333,1.966666667,4.02,48,414.7333333,23.60666667,307.8666667
961649,39.33333333,91.55633333,6.873333333,1.753333333,3.516666667,70.66666667,407.3666667,16.97,318.9333333
971787,31,70.24983333,4.116666667,2.516666667,5.453333333,43,246.4,12.88,173.04
961648,30,69.13302067,2.058666667,1.3,5.806666667,195.5666667,194.8666667,37.55666667,64.71
1569,4.666666667,10.01178873,1.982,1.896666667,2.716666667,28.92666667,454.9566667,7.806666667,205.6666667
28013,43.66666667,102.9156613,5.69,2.29,8.11,44.6,165.6046667,14.81333333,101.6333333
1434,24.66666667,53.35666667,4.786666667,2.44,8.03,41.93333333,404.44,10.15333333,203.6666667
961698,16,34.431254,3.162333333,1.606666667,4.44,75.9275,202.0666667,4.226666667,104.2
33723,56.66666667,138.8281333,6.369,2.32,5.29,35.66666667,172.6833333,13.16,83.78666667
985829,34.66666667,80.87,5.816666667,2.153333333,8.046666667,47.26666667,390.9133333,9.186666667,198.6666667
22877,19,40.61383333,3.076666667,2.65,5.166666667,38.73333333,252.7013333,10.10666667,166.94
22965,62.66666667,154.4949567,6.972333333,2.22,5.64,39.63333333,170.9856667,14.81,87.91666667
1394,27.33333333,62.31153333,1.404333333,1.693333333,6.003333333,214.9666667,137.0096667,1.133333333,50.2
961711,44,104.7976667,10.09533333,1.81,4.193333333,65.76666667,541.9,30.52,473.3333333
9813,35.33333333,82.65333333,7.813333333,2.286666667,8.033333333,35.6,468.4466667,12.48666667,281.6666667
2482,10.66666667,21.36666667,2.016666667,2.033333333,4.24,61.13333333,537.18,2.4,50.53333333
7581,36.66666667,84.63066667,6.6,2.42,3.956666667,48.26666667,371.1266667,12.82,236.4666667
676290,18,39.51193333,1.224266667,1.866666667,6.603333333,114.5690367,192.0226667,1.182333333,29.068
12558,16,35.388865,2.667333333,1.49,3.61,88.4375,202.9666667,3.696666667,104.0666667
1018141,22.66666667,53.783,2.666666667,1.996666667,4.053333333,98.2,537.6133333,1.886666667,46.66666667
543096,14.66666667,30.23046667,3.733333333,2.93,5.726666667,19.86666667,309.5193333,5.203333333,125.5333333
1023934,36.66666667,84.63066667,6.6,2.42,3.956666667,48.26666667,371.1266667,12.82,236.4666667
24012,34,81.63644333,4.551933333,1.993333333,3.896666667,63.13570333,248.5993333,1.449,120.5346667
28797,24.66666667,56.29494667,3.110266667,1.99,3.92,65.13570333,289.966,5.615666667,142.5346667
569843,31.66666667,71.58201467,4.483333333,2.49,7.41,36.66666667,169,11.51333333,93.37333333
36111,10,20.73958733,1.364,1.493333333,4.623333333,86.77083333,207.6333333,4.866666667,109.8666667
762,36.66666667,86.40133333,8.53,2.453333333,8.286666667,28.93333333,373.3466667,8.073333333,163.6666667
1170,27.33333333,60.94333333,3.816666667,2.373333333,8.92,30.6,285.18,3.176666667,105.6666667
