MPID,Atomic number,Atomic weight,Density,Electronegativity,Lattice constant,Polarizability,Heat of formation,Heat of Fusion,Heat of Vaporization
504907,19.30769231,42.37617692,3.917538462,2.844615385,5.574615385,52.31538462,362.9809231,15.88461538,181.1023077
542596,31.69230769,72.624,4.374615385,2.364615385,8.060769231,27.77769231,256.6415385,7.111923077,71.02307692
570900,40.46153846,94.21409231,5.324153846,1.609230769,5.638461538,125.8307692,235.9076923,36.43307692,205.64
31592,10.69230769,22.21148577,2.075615385,2.783846154,5.998461538,32.38990385,269.6793846,1.890384615,69.01923077
757817,10.84615385,22.82506877,1.728461538,2.727692308,6.096923077,39.89423077,282.9563077,2.276923077,82.12307692
540621,17.53846154,38.486,2.630615385,2.777692308,6.235384615,32.27692308,265.0578462,6.613846154,102.5076923
581517,29.92307692,68.21000954,3.921692308,2.169230769,4.943846154,71.2,220.8923077,19.62307692,62.07384615
767859,8.634615385,17.92282173,1.706538462,2.583461538,5.509423077,48.2875,282.7129231,1.541538462,66.39423077
540491,11.07692308,22.75734461,1.900076923,3.031538462,6.576153846,13.66923077,278.4046923,1.077692308,40.73076923
567087,20.53846154,46.72517185,2.681692308,2.708461538,6.294615385,54.95384615,249.2563077,1.44,43.21538462
617011,10.76923077,22.305876,2.835769231,2.791538462,5.191538462,16.33846154,458.5434615,1.706923077,59.9
15740,17.53846154,38.17039923,2.881384615,2.779230769,5.715384615,28.99538462,232.5870769,1.058461538,33.10769231
680772,28,65.20749769,3.571384615,2.845384615,6.006153846,21.92307692,244.1046154,8.378461538,77.76538462
15739,18.92307692,41.99401462,2.955230769,2.774615385,5.633846154,34.74923077,233.7486154,0.94,32.95384615
555309,10.38461538,21.01978535,1.455153846,3.17,5.462923077,10.06307692,288.9324615,0.034615385,4.278461538
781014,9.307692308,19.14069415,1.5036,2.823846154,6.095384615,26.77073923,270.7407692,1.348230769,53.88492308
505124,18.69230769,41.27219908,2.455961538,2.478846154,6.945,66.61153846,231.5244231,3.961538462,72.19230769
648932,19.76923077,41.33742323,3.050769231,2.399230769,9.113076923,31.92307692,350.3230769,5.262307692,116.5230769
743608,12.07692308,25.27611431,2.205576923,2.639615385,7.093461538,38.84230769,300.2475,6.103846154,134.3769231
560739,12.76923077,27.82376154,1.331076923,2.164615385,5.506923077,110.0951923,187.4518462,25.23692308,38.06076923
776830,10.46153846,22.52137154,1.811307692,3.272307692,0.136538462,35.05375,155.6640385,3.398461538,92.62538462
763553,9.615384615,20.06438462,2.034307692,2.835384615,5.485384615,31.00865385,355.2209231,2.145384615,81.38461538
777954,10.76923077,23.13622447,1.980538462,3.26,1.039615385,32.13067308,119.9409615,2.767692308,55.85615385
29060,26.92307692,63.60361538,2.077538462,2.037692308,4.630307692,113.7692308,356.1646154,10.26923077,113.0769231
12199,25.69230769,60.90119415,4.113076923,2.892307692,5.996153846,14.93307692,216.2286154,0.300384615,20.54615385
28889,63.07692308,154.4543708,8.514769231,2.273846154,5.406923077,34.84230769,113.5570769,11.135,71.89230769
850764,9.307692308,19.14069415,1.5036,2.823846154,6.095384615,26.77073923,270.7407692,1.348230769,53.88492308
850369,9.307692308,19.14069415,1.5036,2.823846154,6.095384615,26.77073923,270.7407692,1.348230769,53.88492308
780630,9.307692308,19.14069415,1.5036,2.823846154,6.095384615,26.77073923,270.7407692,1.348230769,53.88492308
555329,13.15384615,28.23686227,1.873615385,3.165384615,4.522923077,11.52461538,281.2447692,0.65,11.84769231
780089,9.076923077,18.76315723,1.655,2.49,6.002307692,51.69519231,261.9848462,8.943846154,109.5384615
705365,9.461538462,19.59700185,1.539230769,2.73,6.075384615,39.04807692,266.2255385,1.561538462,65.2
566589,11.38461538,23.44431277,2.089807692,2.650769231,6.969230769,38.44230769,296.5925,5.069230769,106.7269231
558289,24.46153846,56.89994692,4.524769231,2.936923077,5.722307692,26.09230769,273.1563077,2.996923077,79.73846154
735521,6.307692308,12.76755796,1.108138462,2.846923077,3.76,9.397127692,198.2292308,0.971692308,18.69569231
559307,27.23076923,60.87895831,4.243076923,2.321538462,7.236923077,30.49230769,263.8446923,7.64,97.71923077
771005,27.84615385,66.29241846,5.395646154,2.804615385,5.762307692,31.28461538,385.897,4.930769231,206.0769231
585227,11.07692308,22.75734461,1.900076923,3.031538462,6.576153846,13.66923077,278.4046923,1.077692308,40.73076923
770844,12.53846154,26.36646338,2.397076923,2.83,6.003076923,27.18461538,321.0255385,3.809230769,113.2
743569,6.307692308,12.76755796,1.108138462,2.846923077,3.76,9.397127692,198.2292308,0.971692308,18.69569231
22737,34.38461538,79.86846154,4.562615385,2.326923077,7.999230769,29.84615385,263.7826923,7.438461538,86.63461538
767733,8.673076923,17.88870669,1.686076923,2.584615385,5.570384615,48.01826923,285.1786923,1.597115385,68.05769231
773325,10.69230769,22.66896154,2.199230769,2.643846154,5.436923077,48.58653846,296.8409231,3.867692308,128.3076923
776424,10.76923077,22.33892789,1.778384615,2.553846154,5.977692308,47.93173077,237.6386923,1.476923077,57
13602,21.07692308,47.31363,3.584769231,2.842307692,5.526153846,18.49230769,225.7101538,0.640769231,18.00769231
767693,8.442307692,17.53577977,1.558923077,2.572307692,5.538653846,49.72980769,288.1825385,1.519615385,70.44615385
628951,11.38461538,23.67857877,2.015461538,2.969230769,6.296153846,20.9,300.5431538,2.386153846,77.73846154
776727,12,25.64632502,2.581076923,3.022307692,0.583846154,41.85730769,169.2138462,3.943076923,105.2553846
554255,25.07692308,56.18527108,2.361538462,2.13,8.704615385,78.55384615,260.5892308,2.910769231,46.89230769
554408,32.15384615,73.24874246,4.125153846,2.229230769,7.805384615,58.74615385,258.3992308,7.920769231,90.51538462
